conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1790953211123392606,Thu May 16 14:33:18 +0000 2024,0,@AnKiiim_ @BabehAldoAje135 Untuk DPR mana Hak angketnya??? jika benar peduli pada pemilu dan pilpres LUBER (ga pake sirekap) jurdil (ga pake cawe cawe) maka mestinya gulirkan HAK ANGKET dan jangan diarahkan ke MK ,1791114707790975361,,AnKiiim_,in,,0,0,0,https://twitter.com/BuanaJannah/status/1791114707790975361,1619307065998200835,BuanaJannah
1791103870980239766,Thu May 16 13:57:20 +0000 2024,0,@msaid_didu DPR cuci tangan? Gimik politik nyerang anggota KPU Ingin terbaca oleh rakyat DPR tak ada andil dalam buruknya hasil pilpres yg diselengarakan KPU Semua dosa KPU Hak angketnya mana? Jika benar peduli dan mewakili rakyat mestinya Hak angket digulirkan sandiwara memuakan!,1791105657837613330,,msaid_didu,in,,0,0,0,https://twitter.com/BuanaJannah/status/1791105657837613330,1619307065998200835,BuanaJannah
1790953875236933680,Thu May 16 12:27:10 +0000 2024,0,@OposisiCerdas Ngemeng doang knp ga disampaikan dari dulu? Knp hak angket melempem? Ga heran sih ada anggota DPR yg pengin ditunjuk sama presiden.,1791082967491916061,,OposisiCerdas,in,,0,0,0,https://twitter.com/Sukirman2019/status/1791082967491916061,900969794786148352,Sukirman2019
1790764959808598342,Wed May 15 18:01:04 +0000 2024,6,@alisyarief @mohmahfudmd payah gk pantas merengek. Ngadu kpd rakyat ? percuma aja kan? Dia sendiri gk bisa dorong partai yg mencalonkan dirinya tuk hak angket. Krn planggaran Jkw bkn planggaran Pemilu tp pelanggaran politik/ ranah DPR. Sedang URUSAN RATUSAN TRILIUN DI KEMENKEU nyata OMDO !,1790804605884055915,,alisyarief,in,,0,2,1,https://twitter.com/DamaiHariLubis/status/1790804605884055915,1502697277323837444,DamaiHariLubis
1790777073415696730,Wed May 15 16:11:39 +0000 2024,1214,Terbongkar kecurangan sirekap @KPU_ID @bawaslu_RI @officialMKRI memenangkan 02 @prabowo @jokowi Penuturan penggiat dan praktisi Sayber Scurity Inteljen dan Forensik Analis Seluruh Dunia menyampaikan sikap. Kedunguan pejabat² wakil rakyat @DPR_RI Hak angket Bagian dari dagelan. https://t.co/MNRwKEw0YE,1790777073415696730,https://pbs.twimg.com/ext_tw_video_thumb/1790777032785432577/pu/img/6x-K4kcqWbSjTli9.jpg,,in,,17,90,574,https://twitter.com/H4T14K4LN4L42/status/1790777073415696730,1129672753651388416,H4T14K4LN4L42
1790698628031672478,Wed May 15 13:09:06 +0000 2024,0,@Mdy_Asmara1701 Goblok :: masa DPR RI pakai bahas beginian pilpres 2024 itu kemana padahal itu sejarah terburuk indonesia. Jika DPR RI peduli Hak rakyat Hak Angket. enga penting2 bahas beginian? Lagian walaupun melanggar dikampanye seperti nepotisme money politk dll? Hukumannya kode etik,1790731130528047138,,Mdy_Asmara1701,in,Jakarta Capital Region,0,2,0,https://twitter.com/GNET888/status/1790731130528047138,1335382116574490627,GNET888
1790666900508450886,Wed May 15 12:29:03 +0000 2024,0,@kompascom If dpr ri peduli dengan HAK Rakyat :: 2024 &gt; diadakan Hak Angket. Malah bahas enga ada gunanya. Makanya mikir 2024 kemana aja....,1790721053863625148,,GNET888,in,Jakarta Capital Region,0,1,0,https://twitter.com/GNET888/status/1790721053863625148,1335382116574490627,GNET888
1790668453113893174,Wed May 15 09:00:02 +0000 2024,2,Anggota Komisi Dua DPR RI dari Fraksi Partai Keadilan Sejahtera Mardani Ali Sera menyebut partainya hingga saat ini konsisten mengusahakan digulirkannya hak angket dalam sidang DPR. https://t.co/ns6OyEQSsE https://t.co/HLbtrkfq5i,1790668453113893174,https://pbs.twimg.com/media/GNmoT8ua8AA76LB.jpg,,in,Indonesia,1,0,0,https://twitter.com/CNNIDdaily/status/1790668453113893174,3306771829,CNNIDdaily
1790559587546140869,Wed May 15 01:47:27 +0000 2024,0,@DPR_RI masalah hak angket kenapa hak angket gak di gulirkan DPR padahal itu hak sepesialx DPR 23 pungsix sebenarx DPR menunggu momen yang tepat otomatis hak angket positip di gulirkan pantau dulu orang2 yg lalaikan jabatanx dan pelanggar UUD di pemerintahan INA https://t.co/ZCnIsUsl5D,1790559587546140869,https://pbs.twimg.com/media/GNlYdH7aIAEXltF.jpg,DPR_RI,in,,0,0,0,https://twitter.com/HasaniHasanudin/status/1790559587546140869,1554443530327642113,HasaniHasanudin
1789549870438863235,Tue May 14 14:01:06 +0000 2024,0,@joulepakir Slain NORMATIFnya begitu FAKTAnya jg begitu TOLOL! Kl rezim kadal kebon ga sesuai aturan maka: 1. Ga akan ada pejabat negara yg korupsi yg ditangkap. 2. DPR psti gunakn hak interpelasi hak angket &amp; hak mnyatakan pndapat. Lalu makzulkan rezim kadal kebon. Elu beneran TOLOL!,1790381830618915242,,joulepakir,in,,0,1,0,https://twitter.com/exelrockstar/status/1790381830618915242,1360828668,exelrockstar
